video_id,url,mp4,title,channel,duration_seconds,view_count,published,query,source,thumbnail,matched_keywords,rejected_reason,collected_at
YPNtouPtkJY,https://www.youtube.com/watch?v=YPNtouPtkJY,https://www.youtube.com/watch?v=YPNtouPtkJY,CRAZY FPV DRONE HIGH SPEED MOUNTAIN RUN (4K),PlatyFPV,274,542580,1 year ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/YPNtouPtkJY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZP_f7Pl6nw0AML8ugPMfD_T8BZQ,drone|fpv,,2026-05-23T13:25:45.049509+00:00
kcfs1-ryKWE,https://www.youtube.com/watch?v=kcfs1-ryKWE,https://www.youtube.com/watch?v=kcfs1-ryKWE,FPV Drone Flight through Beautiful Iceland Canyon,Joshua Turner,68,1525009,4 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/kcfs1-ryKWE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPDi46DmaJlDxytJGbktsvqpRdSw,drone|fpv,,2026-05-23T13:25:45.049509+00:00
-W_nFlIAWFM,https://www.youtube.com/watch?v=-W_nFlIAWFM,https://www.youtube.com/watch?v=-W_nFlIAWFM,Summiting the Matterhorn with an FPV Drone,Joshua Turner,169,1592863,4 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/-W_nFlIAWFM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTqoXm92xmWhWu7KV_ftpqJEtfHw,drone|fpv,,2026-05-23T13:25:45.049509+00:00
nQDcDZ6rmGE,https://www.youtube.com/watch?v=nQDcDZ6rmGE,https://www.youtube.com/watch?v=nQDcDZ6rmGE,"Flight of the Year // Trains, Bridges, Rapids, Mountains, Sunset, Gapping, Perching, Powerlooping",NURK FPV,272,2843005,8 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/nQDcDZ6rmGE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBOEl_-RgBn3_i3kyC2W_dopDQ30w,fpv,,2026-05-23T13:25:45.049509+00:00
uW0GaZ7VE-Y,https://www.youtube.com/watch?v=uW0GaZ7VE-Y,https://www.youtube.com/watch?v=uW0GaZ7VE-Y,FPV Drones & Mountain Diving  4k Footage + Process Explained,FalconRad FPV,688,6317,3 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/uW0GaZ7VE-Y/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_ReJ4snG1cGcqu_qz1ZDzgGMpRA,drone|fpv,,2026-05-23T13:25:45.049509+00:00
QVMKFeLtCkE,https://www.youtube.com/watch?v=QVMKFeLtCkE,https://www.youtube.com/watch?v=QVMKFeLtCkE,Soaring over the Dolomites | Cinematic FPV,Joshua Turner,193,29249,6 months ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/QVMKFeLtCkE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOOTM0H2zqYo4m_DaZiuzN2ZFHxg,fpv|cinematic,,2026-05-23T13:25:45.049509+00:00
ctEksNz7tqg,https://www.youtube.com/watch?v=ctEksNz7tqg,https://www.youtube.com/watch?v=ctEksNz7tqg,World's Best FPV Drone Shot? (extreme mountain biking),Red Bull,308,2287667,2 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/ctEksNz7tqg/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2hLlg7FVBkaWRBIGltAMa0ARhYA,drone|fpv,,2026-05-23T13:25:45.049509+00:00
OixeIApX2Uc,https://www.youtube.com/watch?v=OixeIApX2Uc,https://www.youtube.com/watch?v=OixeIApX2Uc,Matterhorn with an FPV Drone | Cinematic Long Range | 8K HDR Dolby Vision,David Silberhorn,737,261948,7 months ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/OixeIApX2Uc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDiYccgRMc9RAexmwJvxQzkkTCS9Q,drone|fpv|cinematic,,2026-05-23T13:25:45.049509+00:00
sZ0Fdk6WDiQ,https://www.youtube.com/watch?v=sZ0Fdk6WDiQ,https://www.youtube.com/watch?v=sZ0Fdk6WDiQ,Mountains From Above - Stunning Drone flying into the golden sunset light - 4k,Kerni FPV,1195,106426,5 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/sZ0Fdk6WDiQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1OrEYGOl8NvqVxg_DYRSnEk2OYQ,drone|fpv,,2026-05-23T13:25:45.049509+00:00
6whHTP6L2Is,https://www.youtube.com/watch?v=6whHTP6L2Is,https://www.youtube.com/watch?v=6whHTP6L2Is,6 Minutes Of Mountain Surfing in Norway | FPV Cinematics,Shaggy FPV,370,995584,6 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/6whHTP6L2Is/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCY6eTh0ZgBtd0tI2Tct5mVCcnkJQ,fpv|cinematic,,2026-05-23T13:25:45.049509+00:00
ID_VSM8UKB4,https://www.youtube.com/watch?v=ID_VSM8UKB4,https://www.youtube.com/watch?v=ID_VSM8UKB4,Chimera 7 - Mountain river surfing - 4k GoPro - Mid range FPV drone flying Norway,Arctic rider,329,9442,2 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/ID_VSM8UKB4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnums_T1_VgJ10Gq62HjIfv6skdQ,drone|fpv,,2026-05-23T13:25:45.049509+00:00
13OtZFWdhwQ,https://www.youtube.com/watch?v=13OtZFWdhwQ,https://www.youtube.com/watch?v=13OtZFWdhwQ,World's Best FPV Drone Shot? (Extreme Mountain Biking),Red Bull,654,7826929,4 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/13OtZFWdhwQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjtkta0tLqpL_XxyF8kSUEpl-yig,drone|fpv,,2026-05-23T13:25:45.049509+00:00
kddVKHFSUAw,https://www.youtube.com/watch?v=kddVKHFSUAw,https://www.youtube.com/watch?v=kddVKHFSUAw,Exploring the Dolomites l Award winning Cinematic FPV video,David Zalka,211,71220,4 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/kddVKHFSUAw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC16CpPpSYPkdiKq0hLZKIE1JBEpg,fpv|cinematic,,2026-05-23T13:25:45.049509+00:00
NcBjx_eyvxc,https://www.youtube.com/watch?v=NcBjx_eyvxc,https://www.youtube.com/watch?v=NcBjx_eyvxc,Madeira | Cinematic FPV,Ellis van Jason,225,4194253,5 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/NcBjx_eyvxc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCP65Yg5e_ljeks7CA1bERqMsCU5w,fpv|cinematic,,2026-05-23T13:25:45.049509+00:00
YV9k6ccdEHM,https://www.youtube.com/watch?v=YV9k6ccdEHM,https://www.youtube.com/watch?v=YV9k6ccdEHM,Best Great White Shark Drone Footage of 2023 (Narrated) 4K,TheMalibuArtist,531,540651,2 years ago,aerial coastline drone footage,youtube_html_search,https://i.ytimg.com/vi/YV9k6ccdEHM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8z71yf_Mbz9ztSdSc4Rea2ap3VA,drone,,2026-05-23T13:25:45.049509+00:00
VRwyFx5CqNI,https://www.youtube.com/watch?v=VRwyFx5CqNI,https://www.youtube.com/watch?v=VRwyFx5CqNI,"Gold Coast, Australia 🇦🇺 in 4K HDR ULTRA HD 60 FPS Dolby Vision™ Drone Video",Exploropia,646,112174,11 months ago,aerial coastline drone footage,youtube_html_search,https://i.ytimg.com/vi/VRwyFx5CqNI/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAsvX98MwLbjj6fBi0kMNlXQdZIVw,drone,,2026-05-23T13:25:45.049509+00:00
xGgDskfTCvY,https://www.youtube.com/watch?v=xGgDskfTCvY,https://www.youtube.com/watch?v=xGgDskfTCvY,"Amalfi Coast, Italy 🇮🇹 - by drone [4K]",Drone Snap,296,632700,4 years ago,aerial coastline drone footage,youtube_html_search,https://i.ytimg.com/vi/xGgDskfTCvY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAw8T2ke3pesUcG7y4t0EKB1raPpw,drone,,2026-05-23T13:25:45.049509+00:00
_n0MmEo_6Ok,https://www.youtube.com/watch?v=_n0MmEo_6Ok,https://www.youtube.com/watch?v=_n0MmEo_6Ok,"Malibu, California , USA 🇺🇸 4K ULTRA HD Drone Footage | Before Wildfire",Ace Travel,581,223906,1 year ago,aerial coastline drone footage,youtube_html_search,https://i.ytimg.com/vi/_n0MmEo_6Ok/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCeMB6vbNVgsRR9Ths6nBNeTUgSfA,drone,,2026-05-23T13:25:45.049509+00:00
hQoMsPXZmHg,https://www.youtube.com/watch?v=hQoMsPXZmHg,https://www.youtube.com/watch?v=hQoMsPXZmHg,4K Forest By The River | DJI Air 2S Cinematic Video,Oculus Films,204,455,4 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/hQoMsPXZmHg/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBlW_E9jzdjzfY01gCcAmcNqtXJA,cinematic,,2026-05-23T13:25:45.049509+00:00
Zf9ug23S1lU,https://www.youtube.com/watch?v=Zf9ug23S1lU,https://www.youtube.com/watch?v=Zf9ug23S1lU,"Relaxing 4K Drone Scenery: Old Forest River (Study, Meditation, Relaxation)",Drone Northwest,301,101,4 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/Zf9ug23S1lU/hq720.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB1AaAAuADigIMCAAQARhlIGIoVzAP&rs=AOn4CLAW3sGFfWZW-i1LZtvlzTyhN2hPTw,drone,,2026-05-23T13:25:45.049509+00:00
rAc4SCzaDjg,https://www.youtube.com/watch?v=rAc4SCzaDjg,https://www.youtube.com/watch?v=rAc4SCzaDjg,Forest Flowing River Drone Footage - Royalty Free Video,SVC,16,279,4 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/rAc4SCzaDjg/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5s0-OdFMUfaTF2C41w-21p7pnfg,drone,,2026-05-23T13:25:45.049509+00:00
6QvY_t-DB1o,https://www.youtube.com/watch?v=6QvY_t-DB1o,https://www.youtube.com/watch?v=6QvY_t-DB1o,River Run (4K Cinematic Nature Drone),Brendan Beale Photography,230,817,3 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/6QvY_t-DB1o/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBz2aHMQFqz2_MvvTIZ_cIAVisbBQ,drone|cinematic,,2026-05-23T13:25:45.049509+00:00
AGcTCvn-a6g,https://www.youtube.com/watch?v=AGcTCvn-a6g,https://www.youtube.com/watch?v=AGcTCvn-a6g,The Forest | Cinematic Drone Footage,Julien Hulin,123,1429263,6 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/AGcTCvn-a6g/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCfvrCwSAxZdrUi0VtCB0010fWCIw,drone|cinematic,,2026-05-23T13:25:45.049509+00:00
KOEm48djZd8,https://www.youtube.com/watch?v=KOEm48djZd8,https://www.youtube.com/watch?v=KOEm48djZd8,Drone Aerial Shots Over Rivers Around The World | With Refreshing Music | Cinematic Footage,The Droneler,262,574,6 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/KOEm48djZd8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBo3Lig9yKzYQh3RZ6XoMaVccBlNg,drone|aerial|cinematic,,2026-05-23T13:25:45.049509+00:00
278IRQ6HSi4,https://www.youtube.com/watch?v=278IRQ6HSi4,https://www.youtube.com/watch?v=278IRQ6HSi4,My most beautiful drone shot – Cinematic FPV on an empty beach,NORTHSIDE,28,1184417,3 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/278IRQ6HSi4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT7CyiWlI86GviOPCX1S3f-DCNHg,drone|fpv|cinematic,,2026-05-23T13:25:45.049509+00:00
