video_id,url,mp4,title,channel,duration_seconds,view_count,published,query,source,thumbnail,matched_keywords,rejected_reason,collected_at
lM02vNMRRB0,https://www.youtube.com/watch?v=lM02vNMRRB0,https://www.youtube.com/watch?v=lM02vNMRRB0,"7 HOUR 4K DRONE FILM: ""Earth from Above"" + Music by Nature Relaxation™ (Ambient AppleTV Style)",Nature Relaxation Films,25207,16460370,7 years ago,drone aerial landscape cinematic 4k no music,youtube_html_search,https://i.ytimg.com/vi/lM02vNMRRB0/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTxCQCPH6cZ5Ww6xxng6BF36vn6g,drone,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
EColTNIbOko,https://www.youtube.com/watch?v=EColTNIbOko,https://www.youtube.com/watch?v=EColTNIbOko,Forests from Above (No Sound) — 10 Hours Screensaver of 4K UHD Drone Aerials,Aerial Earth 🌎,38781,2285958,5 years ago,drone aerial landscape cinematic 4k no music,youtube_html_search,https://i.ytimg.com/vi/EColTNIbOko/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIIZ7wSWEWx4N2VvON-ER9xXfyog,drone|aerial,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
GtS2vPluNFk,https://www.youtube.com/watch?v=GtS2vPluNFk,https://www.youtube.com/watch?v=GtS2vPluNFk,Montana (4K UHD) Stunning Footage - Drone Nature Film With Epic Cinematic Music,4K Planet Earth,14159,48859,1 year ago,drone aerial landscape cinematic 4k no music,youtube_html_search,https://i.ytimg.com/vi/GtS2vPluNFk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCN_cg2iN1pbPShGGwYPDXxrtBf3w,drone|cinematic,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
b7Cl7S0pLRw,https://www.youtube.com/watch?v=b7Cl7S0pLRw,https://www.youtube.com/watch?v=b7Cl7S0pLRw,"8 HOUR DRONE FILM: ""Islands From Above"" 4K + Music by Nature Relaxation™ (Ambient AppleTV Style)",Nature Relaxation Films,28831,6245158,6 years ago,drone aerial landscape cinematic 4k no music,youtube_html_search,https://i.ytimg.com/vi/b7Cl7S0pLRw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAFulnTyvARq8b-jNOJSGP53loLEg,drone,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
QZl_HuHjfnQ,https://www.youtube.com/watch?v=QZl_HuHjfnQ,https://www.youtube.com/watch?v=QZl_HuHjfnQ,"🌿 Exploring UNREAL PLACES on Earth in 4K HDR (60FPS, Dolby Vision) | Green Ambience Nature Film",Beautiful World 4K Film Music,14080,3013882,1 year ago,drone aerial landscape cinematic 4k no music,youtube_html_search,https://i.ytimg.com/vi/QZl_HuHjfnQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBePWbkft4lCNtSpfxgYYaqNs2Xwg,,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
YPNtouPtkJY,https://www.youtube.com/watch?v=YPNtouPtkJY,https://www.youtube.com/watch?v=YPNtouPtkJY,CRAZY FPV DRONE HIGH SPEED MOUNTAIN RUN (4K),PlatyFPV,274,542578,1 year ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/YPNtouPtkJY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZP_f7Pl6nw0AML8ugPMfD_T8BZQ,drone|fpv,,2026-05-23T13:19:25.265433+00:00
nQDcDZ6rmGE,https://www.youtube.com/watch?v=nQDcDZ6rmGE,https://www.youtube.com/watch?v=nQDcDZ6rmGE,"Flight of the Year // Trains, Bridges, Rapids, Mountains, Sunset, Gapping, Perching, Powerlooping",NURK FPV,272,2843005,8 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/nQDcDZ6rmGE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBOEl_-RgBn3_i3kyC2W_dopDQ30w,fpv,,2026-05-23T13:19:25.265433+00:00
LQuLAbG62vY,https://www.youtube.com/watch?v=LQuLAbG62vY,https://www.youtube.com/watch?v=LQuLAbG62vY,Switzerland 4K - Cinematic FPV Relaxation Film with Calming Music,Scenic Relaxation,3631,995084,5 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/LQuLAbG62vY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAKIk9FLXdZfZWwE66Pb42n59Ed6Q,fpv|cinematic,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
kcfs1-ryKWE,https://www.youtube.com/watch?v=kcfs1-ryKWE,https://www.youtube.com/watch?v=kcfs1-ryKWE,FPV Drone Flight through Beautiful Iceland Canyon,Joshua Turner,68,1525006,4 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/kcfs1-ryKWE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPDi46DmaJlDxytJGbktsvqpRdSw,drone|fpv,,2026-05-23T13:19:25.265433+00:00
-W_nFlIAWFM,https://www.youtube.com/watch?v=-W_nFlIAWFM,https://www.youtube.com/watch?v=-W_nFlIAWFM,Summiting the Matterhorn with an FPV Drone,Joshua Turner,169,1592863,4 years ago,fpv drone mountain flight 4k,youtube_html_search,https://i.ytimg.com/vi/-W_nFlIAWFM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTqoXm92xmWhWu7KV_ftpqJEtfHw,drone|fpv,,2026-05-23T13:19:25.265433+00:00
1eaks6kogaA,https://www.youtube.com/watch?v=1eaks6kogaA,https://www.youtube.com/watch?v=1eaks6kogaA,"4K Drone Flyover of Downtown Jacksonville | Skyline, Southbank & Sports Complex",Out and About,309,2466,8 months ago,drone city flyover 4k,youtube_html_search,https://i.ytimg.com/vi/1eaks6kogaA/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8UzhYZxLuK1CBOjt0pB4xEKJ7hw,drone|flyover,,2026-05-23T13:19:25.265433+00:00
s8ctjBfWHBk,https://www.youtube.com/watch?v=s8ctjBfWHBk,https://www.youtube.com/watch?v=s8ctjBfWHBk,1 hour - Drone NYC Night,the Dronalist,3927,587396,1 year ago,drone city flyover 4k,youtube_html_search,https://i.ytimg.com/vi/s8ctjBfWHBk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjymC8P-textZe-HYHkj9ITzE_ag,drone,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
fIZke_A9Md4,https://www.youtube.com/watch?v=fIZke_A9Md4,https://www.youtube.com/watch?v=fIZke_A9Md4,[4K] SAN FRANCISCO 2026 🇺🇸 4 Hour Drone Aerial Relaxation Film | California CA USA United States,Polychronis Film,14567,296405,2 years ago,drone city flyover 4k,youtube_html_search,https://i.ytimg.com/vi/fIZke_A9Md4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvLACzaxALjYLSr0holPDzYIBn4w,drone|aerial,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
jtt-p022HCY,https://www.youtube.com/watch?v=jtt-p022HCY,https://www.youtube.com/watch?v=jtt-p022HCY,FLYING OVER MEXICO (4K UHD) - Amazing Beautiful Nature Scenery with Relaxing Music for Stress Relief,Nature Relaxation Music,42897,483472,Streamed 4 years ago,drone city flyover 4k,youtube_html_search,https://i.ytimg.com/vi/jtt-p022HCY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8rpAhjUdOd-xWB3prEaxZ_zXxlA,,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
VRwyFx5CqNI,https://www.youtube.com/watch?v=VRwyFx5CqNI,https://www.youtube.com/watch?v=VRwyFx5CqNI,"Gold Coast, Australia 🇦🇺 in 4K HDR ULTRA HD 60 FPS Dolby Vision™ Drone Video",Exploropia,646,112174,11 months ago,aerial coastline drone footage,youtube_html_search,https://i.ytimg.com/vi/VRwyFx5CqNI/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAsvX98MwLbjj6fBi0kMNlXQdZIVw,drone,,2026-05-23T13:19:25.265433+00:00
_Rhdoxku_Hg,https://www.youtube.com/watch?v=_Rhdoxku_Hg,https://www.youtube.com/watch?v=_Rhdoxku_Hg,Drone video shows frenzy of sharks off the coast of Florida,10 Tampa Bay News,26,71979,5 years ago,aerial coastline drone footage,youtube_html_search,https://i.ytimg.com/vi/_Rhdoxku_Hg/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAF02mWy4E7exu1WFSD88T5J9SVcA,drone,rejected_keyword:news,2026-05-23T13:19:25.265433+00:00
LUASvksKVgY,https://www.youtube.com/watch?v=LUASvksKVgY,https://www.youtube.com/watch?v=LUASvksKVgY,FLYING OVER OREGON COAST 4K UHD - Relaxing Music With Beautiful Nature Scenes - 4K Video UHD,Relaxing Nature 4K,42896,579974,Streamed 2 years ago,aerial coastline drone footage,youtube_html_search,https://i.ytimg.com/vi/LUASvksKVgY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDPbm0W03L8yhrfS3eUIuDGtNGeSQ,,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
KGxt85vSobs,https://www.youtube.com/watch?v=KGxt85vSobs,https://www.youtube.com/watch?v=KGxt85vSobs,"Dubai 4K Drone Footage | Futuristic Skyscrapers, Marina Coast & Aerial Desert With Deep House Chill",Deep Current 4K and 3 more,11231,73051,3 months ago,aerial coastline drone footage,youtube_html_search,https://i.ytimg.com/vi/KGxt85vSobs/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBLIpGk9yiJ6_PAv-X6DUMtlPZdaA,drone|aerial,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
hQoMsPXZmHg,https://www.youtube.com/watch?v=hQoMsPXZmHg,https://www.youtube.com/watch?v=hQoMsPXZmHg,4K Forest By The River | DJI Air 2S Cinematic Video,Oculus Films,204,455,4 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/hQoMsPXZmHg/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBlW_E9jzdjzfY01gCcAmcNqtXJA,cinematic,,2026-05-23T13:19:25.265433+00:00
AQM-jqHBrM8,https://www.youtube.com/watch?v=AQM-jqHBrM8,https://www.youtube.com/watch?v=AQM-jqHBrM8,The Fjords 4K Drone Nature Film - Calming Piano Music - Amazing Nature,Beautiful World 4k,42899,476094,Streamed 1 year ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/AQM-jqHBrM8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCorY5Z0YyDILLRQbmYc5kaRQUPGg,drone,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
XRIndzl5T3U,https://www.youtube.com/watch?v=XRIndzl5T3U,https://www.youtube.com/watch?v=XRIndzl5T3U,Flying over Enchanted Forest 4K - Aerial Drone Film w/ Celtic Music for Relaxing & Stress Relief,Relax Night and Day - Beautiful Nature & Sounds,11103,48901,6 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/XRIndzl5T3U/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCRxf3Zi6_yaYNKIm4rqgVyH6koMA,drone|aerial,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
Y1knkf7RsCU,https://www.youtube.com/watch?v=Y1knkf7RsCU,https://www.youtube.com/watch?v=Y1knkf7RsCU,Singing Dune | Cinematic 4K Drone Footage of Kazakhstan's desert landscapes,Twourists ,103,248,6 months ago,drone desert landscape 4k,youtube_html_search,https://i.ytimg.com/vi/Y1knkf7RsCU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjWm9LvrS87Ud_7yhfx-7wIvn7-g,drone|cinematic|landscape,,2026-05-23T13:19:25.265433+00:00
eDl7bW4aec4,https://www.youtube.com/watch?v=eDl7bW4aec4,https://www.youtube.com/watch?v=eDl7bW4aec4,Beauty of Desert  ｜Landscape Aerial View｜ Dunes ｜ Sand ｜ Travel ｜Drone Shot ｜ 4K HD Videos,4K HD Videos,720,35,2 years ago,drone desert landscape 4k,youtube_html_search,https://i.ytimg.com/vi/eDl7bW4aec4/hq720.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhyIE0oNTAP&rs=AOn4CLAcc3SH_f7W9e2lJaoobnkhAQmvfA,drone|aerial|landscape,,2026-05-23T13:19:25.265433+00:00
225YNzGZAoY,https://www.youtube.com/watch?v=225YNzGZAoY,https://www.youtube.com/watch?v=225YNzGZAoY,FLYING OVER ARIZONA (4K UHD) - Calming Music With Wonderful Natural Landscape Film For Relaxation,Earth Relaxation,12758,77943,3 years ago,drone desert landscape 4k,youtube_html_search,https://i.ytimg.com/vi/225YNzGZAoY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCzsnNeEv4mnYUBSkj2OR2p8MQkEw,landscape,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
P0xNc9PQy64,https://www.youtube.com/watch?v=P0xNc9PQy64,https://www.youtube.com/watch?v=P0xNc9PQy64,Morocco 4K - Stunning Desert Landscapes and Rich Cultural Heritage with Calming Music - 4K UHD,Beautiful World 4k,42897,64165,Streamed 1 year ago,drone desert landscape 4k,youtube_html_search,https://i.ytimg.com/vi/P0xNc9PQy64/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjBo3XRTHOywHjrFWIjwuckbT3Bg,landscape,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
