video_id,url,mp4,title,channel,duration_seconds,view_count,published,query,source,thumbnail,matched_keywords,rejected_reason,collected_at
lM02vNMRRB0,https://www.youtube.com/watch?v=lM02vNMRRB0,https://www.youtube.com/watch?v=lM02vNMRRB0,7 HOUR 4K DRONE FILM: &quot;Earth from Above&quot; + Music by Nature Relaxation™ (Ambient AppleTV Style),Nature Relaxation Films,,,2018-08-27T23:52:39Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/lM02vNMRRB0/hqdefault.jpg,drone,,2026-05-23T13:42:32.230136+00:00
LQuLAbG62vY,https://www.youtube.com/watch?v=LQuLAbG62vY,https://www.youtube.com/watch?v=LQuLAbG62vY,Switzerland 4K - Cinematic FPV Relaxation Film with Calming Music,Scenic Relaxation,,,2021-01-16T19:15:00Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/LQuLAbG62vY/hqdefault.jpg,fpv|cinematic|landscape,,2026-05-23T13:42:32.230136+00:00
a-8XiE7W7u4,https://www.youtube.com/watch?v=a-8XiE7W7u4,https://www.youtube.com/watch?v=a-8XiE7W7u4,Most Beautiful Places in the World in 4K UHD | Relaxing Cinematic Nature Film,Beautiful World 4K Film Music,,,2025-01-31T10:00:00Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/a-8XiE7W7u4/hqdefault.jpg,cinematic,,2026-05-23T13:42:32.230136+00:00
b7Cl7S0pLRw,https://www.youtube.com/watch?v=b7Cl7S0pLRw,https://www.youtube.com/watch?v=b7Cl7S0pLRw,8 HOUR DRONE FILM: &quot;Islands From Above&quot; 4K + Music by Nature Relaxation™ (Ambient AppleTV Style),Nature Relaxation Films,,,2020-04-05T16:00:11Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/b7Cl7S0pLRw/hqdefault.jpg,drone,,2026-05-23T13:42:32.230136+00:00
kcfs1-ryKWE,https://www.youtube.com/watch?v=kcfs1-ryKWE,https://www.youtube.com/watch?v=kcfs1-ryKWE,FPV Drone Flight through Beautiful Iceland Canyon,Joshua Turner,,,2021-07-30T01:44:25Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/kcfs1-ryKWE/hqdefault.jpg,drone|fpv,,2026-05-23T13:42:32.230136+00:00
B4YGdp29-hY,https://www.youtube.com/watch?v=B4YGdp29-hY,https://www.youtube.com/watch?v=B4YGdp29-hY,Ireland 4K Drone Nature Film - Morning Piano Music - Wonderful Nature,Beautiful World 4k,,,2023-02-10T05:56:26Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/B4YGdp29-hY/hqdefault.jpg,drone,,2026-05-23T13:42:32.230136+00:00
3YTohytF9oE,https://www.youtube.com/watch?v=3YTohytF9oE,https://www.youtube.com/watch?v=3YTohytF9oE,6 hours Fantastic VIews of the Earth 4K with Relaxation Music,PRIMAL EARTH ,,,2021-09-10T12:00:02Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/3YTohytF9oE/hqdefault.jpg,aerial,,2026-05-23T13:42:32.230136+00:00
G1hKzCkywM8,https://www.youtube.com/watch?v=G1hKzCkywM8,https://www.youtube.com/watch?v=G1hKzCkywM8,6 Hour 4K Beautiful places Aerial Views,PRIMAL EARTH ,,,2021-05-22T06:00:05Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/G1hKzCkywM8/hqdefault.jpg,aerial,,2026-05-23T13:42:32.230136+00:00
AQM-jqHBrM8,https://www.youtube.com/watch?v=AQM-jqHBrM8,https://www.youtube.com/watch?v=AQM-jqHBrM8,The Fjords 4K Drone Nature Film - Calming Piano Music - Amazing Nature,Beautiful World 4k,,,2024-05-25T01:12:00Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/AQM-jqHBrM8/hqdefault.jpg,drone,,2026-05-23T13:42:32.230136+00:00
OMDRiSLpQuA,https://www.youtube.com/watch?v=OMDRiSLpQuA,https://www.youtube.com/watch?v=OMDRiSLpQuA,"Patagonia In Stunning 4K Drone Footage, Inspiring Cinematic Music",4K Scenic Relaxation Film,,,2024-07-09T16:00:20Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/OMDRiSLpQuA/hqdefault.jpg,drone|cinematic,,2026-05-23T13:42:32.230136+00:00
