video_id,url,mp4,title,channel,duration_seconds,view_count,published,query,source,thumbnail,matched_keywords,rejected_reason,collected_at
278IRQ6HSi4,https://www.youtube.com/watch?v=278IRQ6HSi4,https://www.youtube.com/watch?v=278IRQ6HSi4,My most beautiful drone shot – Cinematic FPV on an empty beach,NORTHSIDE,28,1184440,2023-04-01T01:14:40Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/278IRQ6HSi4/hqdefault.jpg,drone|fpv|cinematic|landscape,,2026-05-23T13:49:56.151426+00:00
Ks3F5A2O9tM,https://www.youtube.com/watch?v=Ks3F5A2O9tM,https://www.youtube.com/watch?v=Ks3F5A2O9tM,Beach Dive | Cinematic FPV Drone (🎥: TT / birdseyevievv),Drone Racing League,8,392033,2022-10-29T00:10:57Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/Ks3F5A2O9tM/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
b70-_6EgXZw,https://www.youtube.com/watch?v=b70-_6EgXZw,https://www.youtube.com/watch?v=b70-_6EgXZw,Cinematic Golden Hour Drone Footage ｜ DJI Mavic 3 Pro Cine,DJI,11,355592,2025-07-13T14:32:57Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/b70-_6EgXZw/hqdefault.jpg,drone|cinematic,,2026-05-23T13:49:56.151426+00:00
nNjYd1Qh1Ws,https://www.youtube.com/watch?v=nNjYd1Qh1Ws,https://www.youtube.com/watch?v=nNjYd1Qh1Ws,4K Cinematic Drone view village Highway l Free  Drone Video l Free stock footage l Copyright free,Free 4k Drone Video no Copyright (Hakaluki),15,134480,2023-11-21T05:00:32Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/nNjYd1Qh1Ws/hqdefault.jpg,drone|aerial|cinematic|landscape,,2026-05-23T13:49:56.151426+00:00
NcBjx_eyvxc,https://www.youtube.com/watch?v=NcBjx_eyvxc,https://www.youtube.com/watch?v=NcBjx_eyvxc,Madeira | Cinematic FPV,Ellis van Jason,225,4194253,2020-10-26T17:33:06Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/NcBjx_eyvxc/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
iUtnZpzkbG8,https://www.youtube.com/watch?v=iUtnZpzkbG8,https://www.youtube.com/watch?v=iUtnZpzkbG8,No Copyright Drone Shots | Royalty free drone shots | free stock videos | Drone footage nature shots,HikingFex,185,933212,2020-05-02T08:05:10Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/iUtnZpzkbG8/hqdefault.jpg,drone|aerial|cinematic|landscape,,2026-05-23T13:49:56.151426+00:00
xspwwNFkxY8,https://www.youtube.com/watch?v=xspwwNFkxY8,https://www.youtube.com/watch?v=xspwwNFkxY8,Cinematic FPV Drone Cliff Dive (🎥: IG / p_shep1),Drone Racing League,16,876179,2022-07-11T22:04:17Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/xspwwNFkxY8/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
hjvwsHhFGg0,https://www.youtube.com/watch?v=hjvwsHhFGg0,https://www.youtube.com/watch?v=hjvwsHhFGg0,Nepal 4K - Scenic Views of a Himalayan Paradise | Cinematic Drone Footage,Explore The World 4K,530,3252554,2025-05-31T06:00:37Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/hjvwsHhFGg0/hqdefault.jpg,drone|aerial|cinematic|landscape,,2026-05-23T13:49:56.151426+00:00
-W_nFlIAWFM,https://www.youtube.com/watch?v=-W_nFlIAWFM,https://www.youtube.com/watch?v=-W_nFlIAWFM,Summiting the Matterhorn with an FPV Drone,Joshua Turner,169,1592864,2022-03-24T21:52:34Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/-W_nFlIAWFM/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
ctEksNz7tqg,https://www.youtube.com/watch?v=ctEksNz7tqg,https://www.youtube.com/watch?v=ctEksNz7tqg,World's Best FPV Drone Shot? (extreme mountain biking),Red Bull,308,2287695,2023-09-19T14:00:07Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/ctEksNz7tqg/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
uW0GaZ7VE-Y,https://www.youtube.com/watch?v=uW0GaZ7VE-Y,https://www.youtube.com/watch?v=uW0GaZ7VE-Y,FPV Drones & Mountain Diving  4k Footage + Process Explained,FalconRad FPV,688,6317,2022-10-29T14:00:36Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/uW0GaZ7VE-Y/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
2fLD78dLZ1Q,https://www.youtube.com/watch?v=2fLD78dLZ1Q,https://www.youtube.com/watch?v=2fLD78dLZ1Q,"Flying a $10,000 FPV Drone Over the Matterhorn",NORTHSIDE,769,306872,2026-02-02T17:21:49Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/2fLD78dLZ1Q/hqdefault.jpg,drone|aerial|fpv,,2026-05-23T13:49:56.151426+00:00
jib4YNRhYw0,https://www.youtube.com/watch?v=jib4YNRhYw0,https://www.youtube.com/watch?v=jib4YNRhYw0,POV: you mastered the art of flying an FPV drone 🌊 DJI O4 Air Unit 🎬 @SebastianSchieren,DJI,12,799073,2025-02-26T00:15:03Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/jib4YNRhYw0/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
fIzfQJhj86Q,https://www.youtube.com/watch?v=fIzfQJhj86Q,https://www.youtube.com/watch?v=fIzfQJhj86Q,DJI FPV MAX SPEED 140 km/h vs TRAIN - UNCUT FLIGHT[M-MODE] || DJI ACTION2 FOOTAGE[2.7K] FPV THAILAND,ACTIVE FPV,502,3251521,2022-10-26T20:26:47Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/fIzfQJhj86Q/hqdefault.jpg,fpv,,2026-05-23T13:49:56.151426+00:00
13OtZFWdhwQ,https://www.youtube.com/watch?v=13OtZFWdhwQ,https://www.youtube.com/watch?v=13OtZFWdhwQ,World's Best FPV Drone Shot? (Extreme Mountain Biking),Red Bull,654,7826929,2022-04-21T14:00:01Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/13OtZFWdhwQ/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
C83FnY5cRMU,https://www.youtube.com/watch?v=C83FnY5cRMU,https://www.youtube.com/watch?v=C83FnY5cRMU,Mountain Flying 🏔 | Cinematic FPV Drone (🎥: IG / tinexd_ftw),Drone Racing League,15,62452,2023-11-30T01:00:05Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/C83FnY5cRMU/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
M2isYK3ARCU,https://www.youtube.com/watch?v=M2isYK3ARCU,https://www.youtube.com/watch?v=M2isYK3ARCU,Diving Down The Mountain Like 🔀 | Cinematic FPV Drone Fly (🎥: IG / timothy_fpv),Drone Racing League,12,63787,2024-01-12T23:00:19Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/M2isYK3ARCU/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
-rzRGR5CYro,https://www.youtube.com/watch?v=-rzRGR5CYro,https://www.youtube.com/watch?v=-rzRGR5CYro,"FPV Drone extrem long range | From Chamonix (1030m) to Aiguille du midi (3842m), French Alp | 4K",Romano FPV,596,655067,2024-10-06T22:38:44Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/-rzRGR5CYro/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
InXSW569ElA,https://www.youtube.com/watch?v=InXSW569ElA,https://www.youtube.com/watch?v=InXSW569ElA,DJI AVATA 2 - The FPV drone without limits | Cinematic trailer,fabreezy,159,901538,2024-04-11T13:01:59Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/InXSW569ElA/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
8jT9ygmMvMg,https://www.youtube.com/watch?v=8jT9ygmMvMg,https://www.youtube.com/watch?v=8jT9ygmMvMg,VENICE | Cinematic FPV,Joshua Turner,114,934815,2022-10-22T00:03:11Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/8jT9ygmMvMg/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
Ga3MMFcnmY0,https://www.youtube.com/watch?v=Ga3MMFcnmY0,https://www.youtube.com/watch?v=Ga3MMFcnmY0,Tallest Chimney Dive in FPV Drone History | FPV FREESTYLE,ItsJackFPV,16,52997556,2023-10-27T11:58:44Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/Ga3MMFcnmY0/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
imlB-79HRx8,https://www.youtube.com/watch?v=imlB-79HRx8,https://www.youtube.com/watch?v=imlB-79HRx8,Summiting the Matterhorn with an FPV Drone,NORTHSIDE,185,7646,2026-02-04T10:27:43Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/imlB-79HRx8/hqdefault.jpg,drone|fpv,,2026-05-23T13:49:56.151426+00:00
kddVKHFSUAw,https://www.youtube.com/watch?v=kddVKHFSUAw,https://www.youtube.com/watch?v=kddVKHFSUAw,Exploring the Dolomites l Award winning Cinematic FPV video,David Zalka,211,71220,2021-08-15T18:30:37Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/kddVKHFSUAw/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:49:56.151426+00:00
