video_id,url,mp4,title,channel,duration_seconds,view_count,published,query,source,thumbnail,matched_keywords,rejected_reason,collected_at
lM02vNMRRB0,https://www.youtube.com/watch?v=lM02vNMRRB0,https://www.youtube.com/watch?v=lM02vNMRRB0,"7 HOUR 4K DRONE FILM: ""Earth from Above"" + Music by Nature Relaxation™ (Ambient AppleTV Style)",Nature Relaxation Films,25207,16460418,2018-08-27T23:52:39Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/lM02vNMRRB0/hqdefault.jpg,drone|aerial,duration_gt_900,2026-05-23T13:53:26.718924+00:00
q2_c2_WfJFg,https://www.youtube.com/watch?v=q2_c2_WfJFg,https://www.youtube.com/watch?v=q2_c2_WfJFg,National Parks 4K Scenic Peace Relaxation Film (Calming Music),Scenic Peace,3601,1792416,2022-12-20T19:42:08Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/q2_c2_WfJFg/hqdefault.jpg,landscape,duration_gt_900,2026-05-23T13:53:26.718924+00:00
QZl_HuHjfnQ,https://www.youtube.com/watch?v=QZl_HuHjfnQ,https://www.youtube.com/watch?v=QZl_HuHjfnQ,"🌿 Exploring UNREAL PLACES on Earth in 4K HDR (60FPS, Dolby Vision) | Green Ambience Nature Film",Beautiful World 4K Film Music,14080,3013951,2024-08-08T10:01:03Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/QZl_HuHjfnQ/hqdefault.jpg,drone|aerial|cinematic|landscape,duration_gt_900,2026-05-23T13:53:26.718924+00:00
LQuLAbG62vY,https://www.youtube.com/watch?v=LQuLAbG62vY,https://www.youtube.com/watch?v=LQuLAbG62vY,Switzerland 4K - Cinematic FPV Relaxation Film with Calming Music,Scenic Relaxation,3631,995103,2021-01-16T19:15:00Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/LQuLAbG62vY/hqdefault.jpg,drone|fpv|cinematic|landscape,duration_gt_900,2026-05-23T13:53:26.718924+00:00
a-8XiE7W7u4,https://www.youtube.com/watch?v=a-8XiE7W7u4,https://www.youtube.com/watch?v=a-8XiE7W7u4,Most Beautiful Places in the World in 4K UHD | Relaxing Cinematic Nature Film,Beautiful World 4K Film Music,14159,4976155,2025-01-31T10:00:00Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/a-8XiE7W7u4/hqdefault.jpg,aerial|cinematic|landscape,duration_gt_900,2026-05-23T13:53:26.718924+00:00
J_4leOeH9Lc,https://www.youtube.com/watch?v=J_4leOeH9Lc,https://www.youtube.com/watch?v=J_4leOeH9Lc,FLYING OVER HAWAII (4K UHD) - Relaxing Music Along With Beautiful Nature Videos(4K Video Ultra HD),Piano Relaxing,42897,3684263,2021-03-03T08:16:56Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/J_4leOeH9Lc/hqdefault.jpg,,duration_gt_900,2026-05-23T13:53:26.718924+00:00
UYmvFzDuO5k,https://www.youtube.com/watch?v=UYmvFzDuO5k,https://www.youtube.com/watch?v=UYmvFzDuO5k,The Most Beautiful Earth Scenes Captured in 4K HDR (60FPS) |,8K VISION,3339,9017854,2025-04-26T13:00:58Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/UYmvFzDuO5k/hqdefault.jpg,cinematic|landscape,duration_gt_900,2026-05-23T13:53:26.718924+00:00
b7Cl7S0pLRw,https://www.youtube.com/watch?v=b7Cl7S0pLRw,https://www.youtube.com/watch?v=b7Cl7S0pLRw,"8 HOUR DRONE FILM: ""Islands From Above"" 4K + Music by Nature Relaxation™ (Ambient AppleTV Style)",Nature Relaxation Films,28831,6245158,2020-04-05T16:00:11Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/b7Cl7S0pLRw/hqdefault.jpg,drone|aerial,duration_gt_900,2026-05-23T13:53:26.718924+00:00
B4YGdp29-hY,https://www.youtube.com/watch?v=B4YGdp29-hY,https://www.youtube.com/watch?v=B4YGdp29-hY,Ireland 4K Drone Nature Film - Morning Piano Music - Wonderful Nature,Beautiful World 4k,42899,340919,2023-02-10T05:56:26Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/B4YGdp29-hY/hqdefault.jpg,drone,duration_gt_900,2026-05-23T13:53:26.718924+00:00
kcfs1-ryKWE,https://www.youtube.com/watch?v=kcfs1-ryKWE,https://www.youtube.com/watch?v=kcfs1-ryKWE,FPV Drone Flight through Beautiful Iceland Canyon,Joshua Turner,68,1525031,2021-07-30T01:44:25Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/kcfs1-ryKWE/hqdefault.jpg,drone|fpv|cinematic|landscape,rejected_keyword:tutorial,2026-05-23T13:53:26.718924+00:00
G1hKzCkywM8,https://www.youtube.com/watch?v=G1hKzCkywM8,https://www.youtube.com/watch?v=G1hKzCkywM8,6 Hour 4K Beautiful places Aerial Views,PRIMAL EARTH,22213,8232607,2021-05-22T06:00:05Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/G1hKzCkywM8/hqdefault.jpg,aerial,duration_gt_900,2026-05-23T13:53:26.718924+00:00
