video_id,url,mp4,title,channel,duration_seconds,view_count,published,query,source,thumbnail,matched_keywords,rejected_reason,collected_at
NcBjx_eyvxc,https://www.youtube.com/watch?v=NcBjx_eyvxc,https://www.youtube.com/watch?v=NcBjx_eyvxc,Madeira | Cinematic FPV,Ellis van Jason,225,4194211,2020-10-26T17:33:06Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/NcBjx_eyvxc/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:54:19.409098+00:00
hjvwsHhFGg0,https://www.youtube.com/watch?v=hjvwsHhFGg0,https://www.youtube.com/watch?v=hjvwsHhFGg0,Nepal 4K - Scenic Views of a Himalayan Paradise | Cinematic Drone Footage,Explore The World 4K,530,3252556,2025-05-31T06:00:37Z,drone aerial landscape cinematic 4k no music,youtube_data_api_search,https://i.ytimg.com/vi/hjvwsHhFGg0/hqdefault.jpg,drone|aerial|cinematic|landscape,,2026-05-23T13:54:19.409098+00:00
ctEksNz7tqg,https://www.youtube.com/watch?v=ctEksNz7tqg,https://www.youtube.com/watch?v=ctEksNz7tqg,World's Best FPV Drone Shot? (extreme mountain biking),Red Bull,308,2287696,2023-09-19T14:00:07Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/ctEksNz7tqg/hqdefault.jpg,drone|fpv,,2026-05-23T13:54:19.409098+00:00
13OtZFWdhwQ,https://www.youtube.com/watch?v=13OtZFWdhwQ,https://www.youtube.com/watch?v=13OtZFWdhwQ,World's Best FPV Drone Shot? (Extreme Mountain Biking),Red Bull,654,7826924,2022-04-21T14:00:01Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/13OtZFWdhwQ/hqdefault.jpg,drone|fpv,,2026-05-23T13:54:19.409098+00:00
imlB-79HRx8,https://www.youtube.com/watch?v=imlB-79HRx8,https://www.youtube.com/watch?v=imlB-79HRx8,Summiting the Matterhorn with an FPV Drone,NORTHSIDE,185,7646,2026-02-04T10:27:43Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/imlB-79HRx8/hqdefault.jpg,drone|fpv,,2026-05-23T13:54:19.409098+00:00
0pIyIMqwu0E,https://www.youtube.com/watch?v=0pIyIMqwu0E,https://www.youtube.com/watch?v=0pIyIMqwu0E,"29,000 Feet Up Mount Everest with DJI Mavic 3 Pro",DJI,252,9204077,2024-07-10T12:00:01Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/0pIyIMqwu0E/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
jf8J6Ayo74w,https://www.youtube.com/watch?v=jf8J6Ayo74w,https://www.youtube.com/watch?v=jf8J6Ayo74w,The Art of FPV Mountain Surfing,PlatyFPV,291,18499,2024-10-12T13:44:20Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/jf8J6Ayo74w/hqdefault.jpg,fpv|landscape,,2026-05-23T13:54:19.409098+00:00
3nOKWF-UdTg,https://www.youtube.com/watch?v=3nOKWF-UdTg,https://www.youtube.com/watch?v=3nOKWF-UdTg,Avalanche caught CLOSE-UP by FPV drone - Long range mountain surfing in 4k,Mactac,449,1609717,2023-05-04T18:15:20Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/3nOKWF-UdTg/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:54:19.409098+00:00
R_J_BIX7chU,https://www.youtube.com/watch?v=R_J_BIX7chU,https://www.youtube.com/watch?v=R_J_BIX7chU,World's Best FPV Drone Shot VS Extreme Mountain Biking?!,Rémy Métailler,329,246696,2022-06-30T15:00:11Z,fpv drone mountain flight 4k,youtube_data_api_search,https://i.ytimg.com/vi/R_J_BIX7chU/hqdefault.jpg,drone|fpv,,2026-05-23T13:54:19.409098+00:00
9Xqdj1TBOtU,https://www.youtube.com/watch?v=9Xqdj1TBOtU,https://www.youtube.com/watch?v=9Xqdj1TBOtU,"Wrigley Field Like You've Never Seen It Before | Drone Fly Through of the Ballpark, Clubhouse & More",Chicago Cubs,247,685332,2022-09-30T14:40:50Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/9Xqdj1TBOtU/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
OzYdaTr4e9w,https://www.youtube.com/watch?v=OzYdaTr4e9w,https://www.youtube.com/watch?v=OzYdaTr4e9w,"Manhattan, New York, USA by Drone - 4K Video Ultra HD [HDR]",Travel World XP,60,119746,2023-05-27T18:40:09Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/OzYdaTr4e9w/hqdefault.jpg,drone|aerial,,2026-05-23T13:54:19.409098+00:00
NH_c2lLpDSE,https://www.youtube.com/watch?v=NH_c2lLpDSE,https://www.youtube.com/watch?v=NH_c2lLpDSE,"Moscow, Russia by Drone - 4K Video Ultra HD [HDR]",Travel World XP,60,6831920,2023-05-08T15:00:12Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/NH_c2lLpDSE/hqdefault.jpg,drone|aerial,,2026-05-23T13:54:19.409098+00:00
zkGwMz2Dfos,https://www.youtube.com/watch?v=zkGwMz2Dfos,https://www.youtube.com/watch?v=zkGwMz2Dfos,"Montreal, Canada 🇨🇦 - by drone [4K]",Drone Snap,309,83059,2022-09-23T16:30:11Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/zkGwMz2Dfos/hqdefault.jpg,drone|aerial,,2026-05-23T13:54:19.409098+00:00
veCr5M0rNpo,https://www.youtube.com/watch?v=veCr5M0rNpo,https://www.youtube.com/watch?v=veCr5M0rNpo,Chicago By Night | 4K Drone Footage,TAPP Channel,294,278312,2020-11-06T20:30:11Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/veCr5M0rNpo/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
7SU5Mf6o1TA,https://www.youtube.com/watch?v=7SU5Mf6o1TA,https://www.youtube.com/watch?v=7SU5Mf6o1TA,"Miami City : Florida, USA by Drone - 4K Video Ultra HD [HDR]",Travel World XP,60,38874,2023-05-05T06:53:02Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/7SU5Mf6o1TA/hqdefault.jpg,drone|aerial,,2026-05-23T13:54:19.409098+00:00
jmZNxLdPC7k,https://www.youtube.com/watch?v=jmZNxLdPC7k,https://www.youtube.com/watch?v=jmZNxLdPC7k,"Sarasota, Florida, USA 🇺🇸 by Drone - 4K Video Ultra HD [HDR]",Travel World XP,60,53878,2024-04-21T12:33:06Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/jmZNxLdPC7k/hqdefault.jpg,drone|aerial|landscape,,2026-05-23T13:54:19.409098+00:00
F9HQBpgGXq4,https://www.youtube.com/watch?v=F9HQBpgGXq4,https://www.youtube.com/watch?v=F9HQBpgGXq4,"Boston, Massachusetts, USA by Drone - 4K Video Ultra HD [HDR]",Travel World XP,60,111593,2023-05-10T09:57:39Z,drone city flyover 4k,youtube_data_api_search,https://i.ytimg.com/vi/F9HQBpgGXq4/hqdefault.jpg,drone|aerial,,2026-05-23T13:54:19.409098+00:00
vbJaP1jq9BM,https://www.youtube.com/watch?v=vbJaP1jq9BM,https://www.youtube.com/watch?v=vbJaP1jq9BM,Best Great White Shark Drone Footage (Narrated) 2022,TheMalibuArtist,628,3755972,2022-12-31T20:15:07Z,aerial coastline drone footage,youtube_data_api_search,https://i.ytimg.com/vi/vbJaP1jq9BM/hqdefault.jpg,drone|cinematic,,2026-05-23T13:54:19.409098+00:00
QCarJMk5foY,https://www.youtube.com/watch?v=QCarJMk5foY,https://www.youtube.com/watch?v=QCarJMk5foY,The Untamed Coast - (Oregon Coast Cinematic Aerial Drone Film),Andrew Studer,236,10465,2020-12-11T22:59:23Z,aerial coastline drone footage,youtube_data_api_search,https://i.ytimg.com/vi/QCarJMk5foY/hqdefault.jpg,drone|aerial|cinematic|landscape,,2026-05-23T13:54:19.409098+00:00
WMX0AaumuTo,https://www.youtube.com/watch?v=WMX0AaumuTo,https://www.youtube.com/watch?v=WMX0AaumuTo,"Queensland, Australia 🇦🇺 by Drone - 4K Video Ultra HD [HDR]",Travel World XP,60,163776,2024-05-05T10:05:52Z,aerial coastline drone footage,youtube_data_api_search,https://i.ytimg.com/vi/WMX0AaumuTo/hqdefault.jpg,drone|aerial|landscape,,2026-05-23T13:54:19.409098+00:00
OD7RqAghJps,https://www.youtube.com/watch?v=OD7RqAghJps,https://www.youtube.com/watch?v=OD7RqAghJps,4K | Cinematic Drone Footage | Rainforest / Beautiful River,Elysian122,73,1008,2020-03-09T16:11:32Z,drone forest river cinematic,youtube_data_api_search,https://i.ytimg.com/vi/OD7RqAghJps/hqdefault.jpg,drone|cinematic,,2026-05-23T13:54:19.409098+00:00
kW8kiuMdv_0,https://www.youtube.com/watch?v=kW8kiuMdv_0,https://www.youtube.com/watch?v=kW8kiuMdv_0,4K Amazon River Drone Footage – Relaxing Rainforest Aerial View | Peaceful Nature Ambience,Drone Snap,573,4128,2025-11-23T15:30:07Z,drone forest river cinematic,youtube_data_api_search,https://i.ytimg.com/vi/kW8kiuMdv_0/hqdefault.jpg,drone|aerial|cinematic|landscape,,2026-05-23T13:54:19.409098+00:00
-6XAFtOwG8E,https://www.youtube.com/watch?v=-6XAFtOwG8E,https://www.youtube.com/watch?v=-6XAFtOwG8E,Cinematic Drone Mavic Air - in the woods by the river,Honzayk,189,1809,2018-03-11T09:42:48Z,drone forest river cinematic,youtube_data_api_search,https://i.ytimg.com/vi/-6XAFtOwG8E/hqdefault.jpg,drone|cinematic,,2026-05-23T13:54:19.409098+00:00
dIC2DX0oPcs,https://www.youtube.com/watch?v=dIC2DX0oPcs,https://www.youtube.com/watch?v=dIC2DX0oPcs,The Forest | Cinematic Drone Flight,The.ChangeInTime,118,1226,2021-06-12T14:00:11Z,drone forest river cinematic,youtube_data_api_search,https://i.ytimg.com/vi/dIC2DX0oPcs/hqdefault.jpg,drone|cinematic,,2026-05-23T13:54:19.409098+00:00
bi_GK8pRpcg,https://www.youtube.com/watch?v=bi_GK8pRpcg,https://www.youtube.com/watch?v=bi_GK8pRpcg,The Forest | Cinematic Drone Footage - Hungry Rover,Hungry Rover,111,3330,2021-05-05T12:30:05Z,drone forest river cinematic,youtube_data_api_search,https://i.ytimg.com/vi/bi_GK8pRpcg/hqdefault.jpg,drone|cinematic,,2026-05-23T13:54:19.409098+00:00
aCRFsxiEt-4,https://www.youtube.com/watch?v=aCRFsxiEt-4,https://www.youtube.com/watch?v=aCRFsxiEt-4,Movie From The Sky - The Journey of a River | Cinematic Emotional Drone Footage | DJI Mavic Mini 2,Movie From The Sky Drone,160,2310,2022-09-13T13:05:29Z,drone forest river cinematic,youtube_data_api_search,https://i.ytimg.com/vi/aCRFsxiEt-4/hqdefault.jpg,drone|cinematic,,2026-05-23T13:54:19.409098+00:00
dU78HvUEOfA,https://www.youtube.com/watch?v=dU78HvUEOfA,https://www.youtube.com/watch?v=dU78HvUEOfA,RELAXING FOREST VISUAL ASMR 4K - Cinematic shot with #Dison fpv drone and #ReelSteady,Rimzler,152,11822,2019-10-01T17:32:13Z,drone forest river cinematic,youtube_data_api_search,https://i.ytimg.com/vi/dU78HvUEOfA/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:54:19.409098+00:00
eFCNAcloJ_g,https://www.youtube.com/watch?v=eFCNAcloJ_g,https://www.youtube.com/watch?v=eFCNAcloJ_g,Glamis Sand Dunes Video 4k Drone Footage,venm,118,46887,2018-11-23T04:18:54Z,drone desert landscape 4k,youtube_data_api_search,https://i.ytimg.com/vi/eFCNAcloJ_g/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
O7nbFpf4rFE,https://www.youtube.com/watch?v=O7nbFpf4rFE,https://www.youtube.com/watch?v=O7nbFpf4rFE,Awesome Israeli negev desert aerial video  by drone 4K,IsrairLer,80,1894,2023-02-28T16:17:11Z,drone desert landscape 4k,youtube_data_api_search,https://i.ytimg.com/vi/O7nbFpf4rFE/hqdefault.jpg,drone|aerial,,2026-05-23T13:54:19.409098+00:00
RdFkC6Gtb5A,https://www.youtube.com/watch?v=RdFkC6Gtb5A,https://www.youtube.com/watch?v=RdFkC6Gtb5A,"Sahara Desert, Algeria. Aerial 360° video in 5K",AirPano VR,352,1088775,2019-08-21T13:25:17Z,drone desert landscape 4k,youtube_data_api_search,https://i.ytimg.com/vi/RdFkC6Gtb5A/hqdefault.jpg,drone|aerial|landscape,,2026-05-23T13:54:19.409098+00:00
BoEuefuPnc8,https://www.youtube.com/watch?v=BoEuefuPnc8,https://www.youtube.com/watch?v=BoEuefuPnc8,Arabian Desert 4K Drone | Explore the Deserts of SAUDI ARABIA,Mohd Drone,495,1944,2025-11-20T12:24:06Z,drone desert landscape 4k,youtube_data_api_search,https://i.ytimg.com/vi/BoEuefuPnc8/hqdefault.jpg,drone|aerial|landscape,,2026-05-23T13:54:19.409098+00:00
o5JfmFSBDgE,https://www.youtube.com/watch?v=o5JfmFSBDgE,https://www.youtube.com/watch?v=o5JfmFSBDgE,Atacama Desert / 4k Drone Video,Nevin Xavier,225,31404,2020-06-14T08:00:12Z,drone desert landscape 4k,youtube_data_api_search,https://i.ytimg.com/vi/o5JfmFSBDgE/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
z7dyfv2IiVU,https://www.youtube.com/watch?v=z7dyfv2IiVU,https://www.youtube.com/watch?v=z7dyfv2IiVU,Alpine Winter | FPV,Joshua Turner,203,53132,2022-03-21T21:35:34Z,drone snow mountain flight,youtube_data_api_search,https://i.ytimg.com/vi/z7dyfv2IiVU/hqdefault.jpg,drone|fpv|cinematic,,2026-05-23T13:54:19.409098+00:00
As8jGVUQk_k,https://www.youtube.com/watch?v=As8jGVUQk_k,https://www.youtube.com/watch?v=As8jGVUQk_k,Our World by Drone in 4K - Snowy Mountains Flight,Our World by Drone in 4K,276,1728,2016-11-28T10:36:07Z,drone snow mountain flight,youtube_data_api_search,https://i.ytimg.com/vi/As8jGVUQk_k/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
K_WFhYNp6bU,https://www.youtube.com/watch?v=K_WFhYNp6bU,https://www.youtube.com/watch?v=K_WFhYNp6bU,"Found a drone in the snow, but will it fly?",Flight Mode,82,45450229,2025-03-08T13:00:33Z,drone snow mountain flight,youtube_data_api_search,https://i.ytimg.com/vi/K_WFhYNp6bU/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
_U_Q2QYoPZ0,https://www.youtube.com/watch?v=_U_Q2QYoPZ0,https://www.youtube.com/watch?v=_U_Q2QYoPZ0,CAN YOU FLY A DRONE IN THE SNOW? Watch if you want to know more!#faroeislands #djiair3s,Gaui H - Icelandic photographer and filmmaker.,179,274,2025-06-08T06:16:26Z,drone snow mountain flight,youtube_data_api_search,https://i.ytimg.com/vi/_U_Q2QYoPZ0/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
GZDz38vxyLc,https://www.youtube.com/watch?v=GZDz38vxyLc,https://www.youtube.com/watch?v=GZDz38vxyLc,Mourne Mountains in Snow - Cinematic Drone & FPV Footage - DJI Mavic 3,Ben Toogood,133,14784,2023-03-12T21:27:33Z,drone snow mountain flight,youtube_data_api_search,https://i.ytimg.com/vi/GZDz38vxyLc/hqdefault.jpg,drone|aerial|fpv|cinematic,,2026-05-23T13:54:19.409098+00:00
XAz8NH6l8Uc,https://www.youtube.com/watch?v=XAz8NH6l8Uc,https://www.youtube.com/watch?v=XAz8NH6l8Uc,Snowy Mountain Flight 4k,Vermont Drone Adventures,233,40,2026-03-16T12:56:33Z,drone snow mountain flight,youtube_data_api_search,https://i.ytimg.com/vi/XAz8NH6l8Uc/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
c_u45BWW_I4,https://www.youtube.com/watch?v=c_u45BWW_I4,https://www.youtube.com/watch?v=c_u45BWW_I4,Tropical Island Coast in 4K Drone Shot - Ultra HD - Aerial View - 2023,The Real Zohair,73,348,2023-02-13T21:25:34Z,drone tropical island aerial,youtube_data_api_search,https://i.ytimg.com/vi/c_u45BWW_I4/hqdefault.jpg,drone|aerial|fpv,,2026-05-23T13:54:19.409098+00:00
jEYR-kcPtpM,https://www.youtube.com/watch?v=jEYR-kcPtpM,https://www.youtube.com/watch?v=jEYR-kcPtpM,"Palawan By Drone - El Nido & Coron, Philippines - 4K Aerial Footage",The World Travel Guy,112,302814,2018-08-14T14:33:11Z,drone tropical island aerial,youtube_data_api_search,https://i.ytimg.com/vi/jEYR-kcPtpM/hqdefault.jpg,drone|aerial,,2026-05-23T13:54:19.409098+00:00
1HAeI49wpdo,https://www.youtube.com/watch?v=1HAeI49wpdo,https://www.youtube.com/watch?v=1HAeI49wpdo,Happy life on a tropical island. Drone best views from beaches to mountains tops,Antonio Levchenko,186,4546,2019-03-09T15:01:01Z,drone tropical island aerial,youtube_data_api_search,https://i.ytimg.com/vi/1HAeI49wpdo/hqdefault.jpg,drone|aerial,,2026-05-23T13:54:19.409098+00:00
z9_iWKiuT9Y,https://www.youtube.com/watch?v=z9_iWKiuT9Y,https://www.youtube.com/watch?v=z9_iWKiuT9Y,Tropical Island of Siam Bay pull back aerial view,Antonio Levchenko,80,527,2018-03-23T15:52:57Z,drone tropical island aerial,youtube_data_api_search,https://i.ytimg.com/vi/z9_iWKiuT9Y/hqdefault.jpg,drone|aerial,,2026-05-23T13:54:19.409098+00:00
ri727KmYomw,https://www.youtube.com/watch?v=ri727KmYomw,https://www.youtube.com/watch?v=ri727KmYomw,Tropical Island Drone LIVE Test,YourCarBro,352,1801,2018-04-08T02:20:31Z,drone tropical island aerial,youtube_data_api_search,https://i.ytimg.com/vi/ri727KmYomw/hqdefault.jpg,drone,,2026-05-23T13:54:19.409098+00:00
